TOP.6140b3ac.00067137	START
TOP.61415d42.000199ef	folder_config->shared_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61415d42.000199ef	user_options->separator	:
TOP.61415d42.000199ef	user_options->encoding_from	utf-8
TOP.61415d42.000199ef	user_options->encoding_to	utf-8
TOP.61415d42.000199ef	user_options->rule_buf_l	:
TOP.61415d42.000199ef	user_options->rule_buf_r	:
TOP.61415d42.000199ef	user_options->session	hashcat
TOP.61415d42.000199ef	user_options->limit	353046600
TOP.61415d42.000199ef	user_options->skip	0
TOP.61415d42.000199ef	user_options->attack_mode	3
TOP.61415d42.000199ef	user_options->benchmark	0
TOP.61415d42.000199ef	user_options->benchmark_all	0
TOP.61415d42.000199ef	user_options->bitmap_max	18
TOP.61415d42.000199ef	user_options->bitmap_min	16
TOP.61415d42.000199ef	user_options->debug_mode	0
TOP.61415d42.000199ef	user_options->example_hashes	0
TOP.61415d42.000199ef	user_options->force	0
TOP.61415d42.000199ef	user_options->hwmon_disable	1
TOP.61415d42.000199ef	user_options->hwmon_temp_abort	0
TOP.61415d42.000199ef	user_options->hash_mode	0
TOP.61415d42.000199ef	user_options->hex_charset	0
TOP.61415d42.000199ef	user_options->hex_salt	0
TOP.61415d42.000199ef	user_options->hex_wordlist	0
TOP.61415d42.000199ef	user_options->hook_threads	4
TOP.61415d42.000199ef	user_options->increment	0
TOP.61415d42.000199ef	user_options->increment_max	256
TOP.61415d42.000199ef	user_options->increment_min	1
TOP.61415d42.000199ef	user_options->keep_guessing	0
TOP.61415d42.000199ef	user_options->kernel_accel	0
TOP.61415d42.000199ef	user_options->kernel_loops	0
TOP.61415d42.000199ef	user_options->kernel_threads	0
TOP.61415d42.000199ef	user_options->keyspace	0
TOP.61415d42.000199ef	user_options->left	0
TOP.61415d42.000199ef	user_options->logfile_disable	0
TOP.61415d42.000199ef	user_options->loopback	0
TOP.61415d42.000199ef	user_options->machine_readable	1
TOP.61415d42.000199ef	user_options->markov_classic	0
TOP.61415d42.000199ef	user_options->markov_disable	0
TOP.61415d42.000199ef	user_options->markov_threshold	256
TOP.61415d42.000199ef	user_options->backend_info	0
TOP.61415d42.000199ef	user_options->backend_vector_width	0
TOP.61415d42.000199ef	user_options->optimized_kernel_enable	0
TOP.61415d42.000199ef	user_options->outfile_autohex	1
TOP.61415d42.000199ef	user_options->outfile_check_timer	5
TOP.61415d42.000199ef	user_options->outfile_format	3
TOP.61415d42.000199ef	user_options->wordlist_autohex_disable	0
TOP.61415d42.000199ef	user_options->potfile_disable	0
TOP.61415d42.000199ef	user_options->progress_only	0
TOP.61415d42.000199ef	user_options->quiet	1
TOP.61415d42.000199ef	user_options->remove	0
TOP.61415d42.000199ef	user_options->remove_timer	60
TOP.61415d42.000199ef	user_options->restore	0
TOP.61415d42.000199ef	user_options->restore_disable	0
TOP.61415d42.000199ef	user_options->restore_timer	60
TOP.61415d42.000199ef	user_options->rp_files_cnt	0
TOP.61415d42.000199ef	user_options->rp_gen	0
TOP.61415d42.000199ef	user_options->rp_gen_func_max	4
TOP.61415d42.000199ef	user_options->rp_gen_func_min	1
TOP.61415d42.000199ef	user_options->rp_gen_seed	0
TOP.61415d42.000199ef	user_options->runtime	0
TOP.61415d42.000199ef	user_options->scrypt_tmto	0
TOP.61415d42.000199ef	user_options->segment_size	33554432
TOP.61415d42.000199ef	user_options->self_test_disable	0
TOP.61415d42.000199ef	user_options->slow_candidates	0
TOP.61415d42.000199ef	user_options->show	0
TOP.61415d42.000199ef	user_options->speed_only	0
TOP.61415d42.000199ef	user_options->spin_damp	0
TOP.61415d42.000199ef	user_options->status	1
TOP.61415d42.000199ef	user_options->status_json	0
TOP.61415d42.000199ef	user_options->status_timer	3
TOP.61415d42.000199ef	user_options->stdout_flag	0
TOP.61415d42.000199ef	user_options->usage	0
TOP.61415d42.000199ef	user_options->username	0
TOP.61415d42.000199ef	user_options->veracrypt_pim_start	485
TOP.61415d42.000199ef	user_options->veracrypt_pim_stop	485
TOP.61415d42.000199ef	user_options->version	0
TOP.61415d42.000199ef	user_options->workload_profile	2
TOP.61415d42.000199ef	user_options->brain_client	0
TOP.61415d42.000199ef	user_options->brain_client_features	2
TOP.61415d42.000199ef	user_options->brain_server	0
TOP.61415d42.000199ef	user_options->brain_server_timer	300
TOP.61415d42.000199ef	user_options->brain_port	6863
TOP.61415d42.000199ef	user_options->brain_session	0
TOP.61415d42.000199ef	hashes->hashfile	/Users/luna/graduation-project/application/sweeney/temp/hashcat/2e1b4ca84a7d49d0bfc26805c0d847c1
TOP.61415d42.000199ef	hashes->hashlist_mode	5
TOP.61415d42.000199ef	hashes->hashlist_format	0
TOP.61415d42.000199ef	hashes->hashes_cnt	0
TOP.61415d42.000199ef	hashes->digests_cnt	1
TOP.61415d42.000199ef	hashes->digests_done	0
TOP.61415d42.000199ef	hashes->salts_cnt	1
TOP.61415d42.000199ef	hashes->salts_done	0
TOP.61415d42.000199ef	SUB.61415d43.00032821	START
TOP.61415d42.000199ef	SUB.61415d43.00032821	mask_ctx->mask	?l?l?l?l?l?l?l?l
TOP.61415f9e.00049aff	START
TOP.61415f9e.00049aff	folder_config->cwd	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61415f9e.00049aff	folder_config->install_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61415f9e.00049aff	folder_config->profile_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61415f9e.00049aff	folder_config->session_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61415f9e.00049aff	folder_config->shared_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61415f9e.00049aff	user_options->separator	:
TOP.61415f9e.00049aff	user_options->encoding_from	utf-8
TOP.61415f9e.00049aff	user_options->encoding_to	utf-8
TOP.61415f9e.00049aff	user_options->rule_buf_l	:
TOP.61415f9e.00049aff	user_options->rule_buf_r	:
TOP.61415f9e.00049aff	user_options->session	hashcat
TOP.61415f9e.00049aff	user_options->limit	353046600
TOP.61415f9e.00049aff	user_options->skip	0
TOP.61415f9e.00049aff	user_options->attack_mode	3
TOP.61415f9e.00049aff	user_options->benchmark	0
TOP.61415f9e.00049aff	user_options->benchmark_all	0
TOP.61415f9e.00049aff	user_options->bitmap_max	18
TOP.61415f9e.00049aff	user_options->bitmap_min	16
TOP.61415f9e.00049aff	user_options->debug_mode	0
TOP.61415f9e.00049aff	user_options->example_hashes	0
TOP.61415f9e.00049aff	user_options->force	0
TOP.61415f9e.00049aff	user_options->hwmon_disable	1
TOP.61415f9e.00049aff	user_options->hwmon_temp_abort	0
TOP.61415f9e.00049aff	user_options->hash_mode	0
TOP.61415f9e.00049aff	user_options->hex_charset	0
TOP.61415f9e.00049aff	user_options->hex_salt	0
TOP.61415f9e.00049aff	user_options->hex_wordlist	0
TOP.61415f9e.00049aff	user_options->hook_threads	4
TOP.61415f9e.00049aff	user_options->increment	0
TOP.61415f9e.00049aff	user_options->increment_max	256
TOP.61415f9e.00049aff	user_options->increment_min	1
TOP.61415f9e.00049aff	user_options->keep_guessing	0
TOP.61415f9e.00049aff	user_options->kernel_accel	0
TOP.61415f9e.00049aff	user_options->kernel_loops	0
TOP.61415f9e.00049aff	user_options->kernel_threads	0
TOP.61415f9e.00049aff	user_options->keyspace	0
TOP.61415f9e.00049aff	user_options->left	0
TOP.61415f9e.00049aff	user_options->logfile_disable	0
TOP.61415f9e.00049aff	user_options->loopback	0
TOP.61415f9e.00049aff	user_options->machine_readable	1
TOP.61415f9e.00049aff	user_options->markov_classic	0
TOP.61415f9e.00049aff	user_options->markov_disable	0
TOP.61415f9e.00049aff	user_options->markov_threshold	256
TOP.61415f9e.00049aff	user_options->backend_info	0
TOP.61415f9e.00049aff	user_options->backend_vector_width	0
TOP.61415f9e.00049aff	user_options->optimized_kernel_enable	0
TOP.61415f9e.00049aff	user_options->outfile_autohex	1
TOP.61415f9e.00049aff	user_options->outfile_check_timer	5
TOP.61415f9e.00049aff	user_options->outfile_format	3
TOP.61415f9e.00049aff	user_options->wordlist_autohex_disable	0
TOP.61415f9e.00049aff	user_options->potfile_disable	0
TOP.61415f9e.00049aff	user_options->progress_only	0
TOP.61415f9e.00049aff	user_options->quiet	1
TOP.61415f9e.00049aff	user_options->remove	0
TOP.61415f9e.00049aff	user_options->remove_timer	60
TOP.61415f9e.00049aff	user_options->restore	0
TOP.61415f9e.00049aff	user_options->restore_disable	0
TOP.61415f9e.00049aff	user_options->restore_timer	60
TOP.61415f9e.00049aff	user_options->rp_files_cnt	0
TOP.61415f9e.00049aff	user_options->rp_gen	0
TOP.61415f9e.00049aff	user_options->rp_gen_func_max	4
TOP.61415f9e.00049aff	user_options->rp_gen_func_min	1
TOP.61415f9e.00049aff	user_options->rp_gen_seed	0
TOP.61415f9e.00049aff	user_options->runtime	0
TOP.61415f9e.00049aff	user_options->scrypt_tmto	0
TOP.61415f9e.00049aff	user_options->segment_size	33554432
TOP.61415f9e.00049aff	user_options->self_test_disable	0
TOP.61415f9e.00049aff	user_options->slow_candidates	0
TOP.61415f9e.00049aff	user_options->show	0
TOP.61415f9e.00049aff	user_options->speed_only	0
TOP.61415f9e.00049aff	user_options->spin_damp	0
TOP.61415f9e.00049aff	user_options->status	1
TOP.61415f9e.00049aff	user_options->status_json	0
TOP.61415f9e.00049aff	user_options->status_timer	3
TOP.61415f9e.00049aff	user_options->stdout_flag	0
TOP.61415f9e.00049aff	user_options->usage	0
TOP.61415f9e.00049aff	user_options->username	0
TOP.61415f9e.00049aff	user_options->veracrypt_pim_start	485
TOP.61415f9e.00049aff	user_options->veracrypt_pim_stop	485
TOP.61415f9e.00049aff	user_options->version	0
TOP.61415f9e.00049aff	user_options->workload_profile	2
TOP.61415f9e.00049aff	user_options->brain_client	0
TOP.61415f9e.00049aff	user_options->brain_client_features	2
TOP.61415f9e.00049aff	user_options->brain_server	0
TOP.61415f9e.00049aff	user_options->brain_server_timer	300
TOP.61415f9e.00049aff	user_options->brain_port	6863
TOP.61415f9e.00049aff	user_options->brain_session	0
TOP.61415f9e.00049aff	hashes->hashfile	/Users/luna/graduation-project/application/sweeney/temp/hashcat/02c93db4584046b1867faa18570eac2d
TOP.61415f9e.00049aff	hashes->hashlist_mode	5
TOP.61415f9e.00049aff	hashes->hashlist_format	0
TOP.61415f9e.00049aff	hashes->hashes_cnt	0
TOP.61415f9e.00049aff	hashes->digests_cnt	1
TOP.61415f9e.00049aff	hashes->digests_done	0
TOP.61415f9e.00049aff	hashes->salts_cnt	1
TOP.61415f9e.00049aff	hashes->salts_done	0
TOP.61415f9e.00049aff	SUB.61415f9f.000d7360	START
TOP.61415f9e.00049aff	SUB.61415f9f.000d7360	mask_ctx->mask	?l?l?l?l?l?l?l?l
TOP.614161fb.000015ca	START
TOP.614161fb.000015ca	folder_config->cwd	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.614161fb.000015ca	folder_config->install_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.614161fb.000015ca	folder_config->profile_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.614161fb.000015ca	folder_config->session_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.614161fb.000015ca	folder_config->shared_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.614161fb.000015ca	user_options->separator	:
TOP.614161fb.000015ca	user_options->encoding_from	utf-8
TOP.614161fb.000015ca	user_options->encoding_to	utf-8
TOP.614161fb.000015ca	user_options->rule_buf_l	:
TOP.614161fb.000015ca	user_options->rule_buf_r	:
TOP.614161fb.000015ca	user_options->session	hashcat
TOP.614161fb.000015ca	user_options->limit	353046600
TOP.614161fb.000015ca	user_options->skip	0
TOP.614161fb.000015ca	user_options->attack_mode	3
TOP.614161fb.000015ca	user_options->benchmark	0
TOP.614161fb.000015ca	user_options->benchmark_all	0
TOP.614161fb.000015ca	user_options->bitmap_max	18
TOP.614161fb.000015ca	user_options->bitmap_min	16
TOP.614161fb.000015ca	user_options->debug_mode	0
TOP.614161fb.000015ca	user_options->example_hashes	0
TOP.614161fb.000015ca	user_options->force	0
TOP.614161fb.000015ca	user_options->hwmon_disable	1
TOP.614161fb.000015ca	user_options->hwmon_temp_abort	0
TOP.614161fb.000015ca	user_options->hash_mode	0
TOP.614161fb.000015ca	user_options->hex_charset	0
TOP.614161fb.000015ca	user_options->hex_salt	0
TOP.614161fb.000015ca	user_options->hex_wordlist	0
TOP.614161fb.000015ca	user_options->hook_threads	4
TOP.614161fb.000015ca	user_options->increment	0
TOP.614161fb.000015ca	user_options->increment_max	256
TOP.614161fb.000015ca	user_options->increment_min	1
TOP.614161fb.000015ca	user_options->keep_guessing	0
TOP.614161fb.000015ca	user_options->kernel_accel	0
TOP.614161fb.000015ca	user_options->kernel_loops	0
TOP.614161fb.000015ca	user_options->kernel_threads	0
TOP.614161fb.000015ca	user_options->keyspace	0
TOP.614161fb.000015ca	user_options->left	0
TOP.614161fb.000015ca	user_options->logfile_disable	0
TOP.614161fb.000015ca	user_options->loopback	0
TOP.614161fb.000015ca	user_options->machine_readable	1
TOP.614161fb.000015ca	user_options->markov_classic	0
TOP.614161fb.000015ca	user_options->markov_disable	0
TOP.614161fb.000015ca	user_options->markov_threshold	256
TOP.614161fb.000015ca	user_options->backend_info	0
TOP.614161fb.000015ca	user_options->backend_vector_width	0
TOP.614161fb.000015ca	user_options->optimized_kernel_enable	0
TOP.614161fb.000015ca	user_options->outfile_autohex	1
TOP.614161fb.000015ca	user_options->outfile_check_timer	5
TOP.614161fb.000015ca	user_options->outfile_format	3
TOP.614161fb.000015ca	user_options->wordlist_autohex_disable	0
TOP.614161fb.000015ca	user_options->potfile_disable	0
TOP.614161fb.000015ca	user_options->progress_only	0
TOP.614161fb.000015ca	user_options->quiet	1
TOP.614161fb.000015ca	user_options->remove	0
TOP.614161fb.000015ca	user_options->remove_timer	60
TOP.614161fb.000015ca	user_options->restore	0
TOP.614161fb.000015ca	user_options->restore_disable	0
TOP.614161fb.000015ca	user_options->restore_timer	60
TOP.614161fb.000015ca	user_options->rp_files_cnt	0
TOP.614161fb.000015ca	user_options->rp_gen	0
TOP.614161fb.000015ca	user_options->rp_gen_func_max	4
TOP.614161fb.000015ca	user_options->rp_gen_func_min	1
TOP.614161fb.000015ca	user_options->rp_gen_seed	0
TOP.614161fb.000015ca	user_options->runtime	0
TOP.614161fb.000015ca	user_options->scrypt_tmto	0
TOP.614161fb.000015ca	user_options->segment_size	33554432
TOP.614161fb.000015ca	user_options->self_test_disable	0
TOP.614161fb.000015ca	user_options->slow_candidates	0
TOP.614161fb.000015ca	user_options->show	0
TOP.614161fb.000015ca	user_options->speed_only	0
TOP.614161fb.000015ca	user_options->spin_damp	0
TOP.614161fb.000015ca	user_options->status	1
TOP.614161fb.000015ca	user_options->status_json	0
TOP.614161fb.000015ca	user_options->status_timer	3
TOP.614161fb.000015ca	user_options->stdout_flag	0
TOP.614161fb.000015ca	user_options->usage	0
TOP.614161fb.000015ca	user_options->username	0
TOP.614161fb.000015ca	user_options->veracrypt_pim_start	485
TOP.614161fb.000015ca	user_options->veracrypt_pim_stop	485
TOP.614161fb.000015ca	user_options->version	0
TOP.614161fb.000015ca	user_options->workload_profile	2
TOP.614161fb.000015ca	user_options->brain_client	0
TOP.614161fb.000015ca	user_options->brain_client_features	2
TOP.614161fb.000015ca	user_options->brain_server	0
TOP.614161fb.000015ca	user_options->brain_server_timer	300
TOP.614161fb.000015ca	user_options->brain_port	6863
TOP.614161fb.000015ca	user_options->brain_session	0
TOP.614161fb.000015ca	hashes->hashfile	/Users/luna/graduation-project/application/sweeney/temp/hashcat/35f5e190ffe2430a8fb7ddd2f2d872c1
TOP.614161fb.000015ca	hashes->hashlist_mode	5
TOP.614161fb.000015ca	hashes->hashlist_format	0
TOP.614161fb.000015ca	hashes->hashes_cnt	0
TOP.614161fb.000015ca	hashes->digests_cnt	1
TOP.614161fb.000015ca	hashes->digests_done	0
TOP.614161fb.000015ca	hashes->salts_cnt	1
TOP.614161fb.000015ca	hashes->salts_done	0
TOP.614161fb.000015ca	SUB.614161fc.00053234	START
TOP.614161fb.000015ca	SUB.614161fc.00053234	mask_ctx->mask	?l?l?l?l?l?l?l?l
TOP.61445cee.000e8ccd	START
TOP.61445cee.000e8ccd	folder_config->cwd	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61445cee.000e8ccd	folder_config->install_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61445cee.000e8ccd	folder_config->profile_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61445cee.000e8ccd	folder_config->session_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61445cee.000e8ccd	folder_config->shared_dir	/Users/luna/graduation-project/application/sweeney/bin/hashcat-mac/bin
TOP.61445cee.000e8ccd	user_options->separator	:
TOP.61445cee.000e8ccd	user_options->encoding_from	utf-8
TOP.61445cee.000e8ccd	user_options->encoding_to	utf-8
TOP.61445cee.000e8ccd	user_options->rule_buf_l	:
TOP.61445cee.000e8ccd	user_options->rule_buf_r	:
TOP.61445cee.000e8ccd	user_options->session	hashcat
TOP.61445cee.000e8ccd	user_options->limit	353046600
TOP.61445cee.000e8ccd	user_options->skip	0
TOP.61445cee.000e8ccd	user_options->attack_mode	3
TOP.61445cee.000e8ccd	user_options->benchmark	0
TOP.61445cee.000e8ccd	user_options->benchmark_all	0
TOP.61445cee.000e8ccd	user_options->bitmap_max	18
TOP.61445cee.000e8ccd	user_options->bitmap_min	16
TOP.61445cee.000e8ccd	user_options->debug_mode	0
TOP.61445cee.000e8ccd	user_options->example_hashes	0
TOP.61445cee.000e8ccd	user_options->force	0
TOP.61445cee.000e8ccd	user_options->hwmon_disable	1
TOP.61445cee.000e8ccd	user_options->hwmon_temp_abort	0
TOP.61445cee.000e8ccd	user_options->hash_mode	0
TOP.61445cee.000e8ccd	user_options->hex_charset	0
TOP.61445cee.000e8ccd	user_options->hex_salt	0
TOP.61445cee.000e8ccd	user_options->hex_wordlist	0
TOP.61445cee.000e8ccd	user_options->hook_threads	4
TOP.61445cee.000e8ccd	user_options->increment	0
TOP.61445cee.000e8ccd	user_options->increment_max	256
TOP.61445cee.000e8ccd	user_options->increment_min	1
TOP.61445cee.000e8ccd	user_options->keep_guessing	0
TOP.61445cee.000e8ccd	user_options->kernel_accel	0
TOP.61445cee.000e8ccd	user_options->kernel_loops	0
TOP.61445cee.000e8ccd	user_options->kernel_threads	0
TOP.61445cee.000e8ccd	user_options->keyspace	0
TOP.61445cee.000e8ccd	user_options->left	0
TOP.61445cee.000e8ccd	user_options->logfile_disable	0
TOP.61445cee.000e8ccd	user_options->loopback	0
TOP.61445cee.000e8ccd	user_options->machine_readable	1
TOP.61445cee.000e8ccd	user_options->markov_classic	0
TOP.61445cee.000e8ccd	user_options->markov_disable	0
TOP.61445cee.000e8ccd	user_options->markov_threshold	256
TOP.61445cee.000e8ccd	user_options->backend_info	0
TOP.61445cee.000e8ccd	user_options->backend_vector_width	0
TOP.61445cee.000e8ccd	user_options->optimized_kernel_enable	0
TOP.61445cee.000e8ccd	user_options->outfile_autohex	1
TOP.61445cee.000e8ccd	user_options->outfile_check_timer	5
TOP.61445cee.000e8ccd	user_options->outfile_format	3
TOP.61445cee.000e8ccd	user_options->wordlist_autohex_disable	0
TOP.61445cee.000e8ccd	user_options->potfile_disable	0
TOP.61445cee.000e8ccd	user_options->progress_only	0
TOP.61445cee.000e8ccd	user_options->quiet	1
TOP.61445cee.000e8ccd	user_options->remove	0
TOP.61445cee.000e8ccd	user_options->remove_timer	60
TOP.61445cee.000e8ccd	user_options->restore	0
TOP.61445cee.000e8ccd	user_options->restore_disable	0
TOP.61445cee.000e8ccd	user_options->restore_timer	60
TOP.61445cee.000e8ccd	user_options->rp_files_cnt	0
TOP.61445cee.000e8ccd	user_options->rp_gen	0
TOP.61445cee.000e8ccd	user_options->rp_gen_func_max	4
TOP.61445cee.000e8ccd	user_options->rp_gen_func_min	1
TOP.61445cee.000e8ccd	user_options->rp_gen_seed	0
TOP.61445cee.000e8ccd	user_options->runtime	0
TOP.61445cee.000e8ccd	user_options->scrypt_tmto	0
TOP.61445cee.000e8ccd	user_options->segment_size	33554432
TOP.61445cee.000e8ccd	user_options->self_test_disable	0
TOP.61445cee.000e8ccd	user_options->slow_candidates	0
TOP.61445cee.000e8ccd	user_options->show	0
TOP.61445cee.000e8ccd	user_options->speed_only	0
TOP.61445cee.000e8ccd	user_options->spin_damp	0
TOP.61445cee.000e8ccd	user_options->status	1
TOP.61445cee.000e8ccd	user_options->status_json	0
TOP.61445cee.000e8ccd	user_options->status_timer	3
TOP.61445cee.000e8ccd	user_options->stdout_flag	0
TOP.61445cee.000e8ccd	user_options->usage	0
